LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH
1770216900,1770086700,1770087000,-,31.84976559
1770221100,1770084101,1770088400,도시첨단산업로,92.06473286
1770223000,1770088900,1770089000,도시첨단산업로,340.0325256
1770211900,1770085300,1770085400,-,49.50211508
1770213400,1770085400,1770085800,-,135.1619107
1770216000,1770086800,1770086400,-,71.03429028
1770216400,1770086900,1770086000,-,169.7408679
1770218100,1770087400,1770086500,-,161.2398514
1760400601,1760036000,1760125801,화정로,51.807277
1760400701,1760125801,1760036000,화정로,49.84388442
1760400801,1760125801,1760056600,화정로,134.8013084
1760400901,1760056600,1760125801,화정로,136.7031981
1760400501,1760125801,1760125601,금부로95번길,316.9957699
1760400401,1760125601,1760125801,금부로95번길,314.7956938
1770212200,1770036400,1770085500,포충로,286.2159827
1770209800,1770084600,1770084500,-,203.1072068
1770210200,1770084700,1770084600,-,150.9355474
1770221200,1770088400,1770084101,도시첨단산업로,92.55949147
1770214400,1770085600,1770086100,-,419.0242968
1770216700,1770085900,1770087000,-,450.7947925
1770216800,1770087000,1770085900,-,452.4202647
1770214300,1770086100,1770085600,-,419.6065432
1770209900,1770084700,1770003900,포충로,1987.328838
1770210000,1770003900,1770084700,포충로,1985.273707
1770210800,1770084900,1770084700,포충로,252.5044966
1770212100,1770085500,1770036400,포충로,287.6859374
1770212300,1770085500,1770084900,포충로,242.3363418
1770212400,1770084900,1770085500,포충로,242.3620178
1770213100,1770085800,1770085200,-,102.8093126
1770219300,1770087800,1770036300,회재로,454.4555583
1770219600,1770087800,1770083200,회재로,845.4202898
1770222400,1770088900,1770084201,도시첨단산업로,144.5233937
1770222900,1770088600,1770089000,도시첨단산업2로,81.76727416
1770223200,1770088400,1770089100,도시첨단산업로,249.1677692
1770221300,1770088400,1770088300,도시첨단산업4로,53.06955194
1770218200,1770086500,1770087400,-,161.2398514
1770210400,1770084700,1770084800,-,311.3196208
1770212000,1770085400,1770085300,-,49.50211508
1770218400,1770087400,1770087000,-,104.1366661
1770222300,1770088500,1770088800,-,52.99040527
1770222800,1770089000,1770088600,도시첨단산업2로,81.76727416
1770218500,1770087200,1770087400,-,229.7832503
1770213900,1770085900,1770085700,-,74.74759114
1770222500,1770084201,1770088900,도시첨단산업로,137.4648817
1770215700,1770086700,1770086400,-,47.52018241
1770216300,1770086000,1770086900,-,169.7408679
1770217200,1770087100,1770086700,-,67.61205817
1760436000,1760124100,1760096300,-,926.9489226
1760436100,1760096300,1760124100,-,934.6985004
1760436200,1760124600,1770088500,눌재로,238.2388148
1770217700,1770087300,1770004500,고싸움로,124.0493963
1770210500,1770084600,1770084900,-,423.2095371
1770217800,1770004500,1770087300,고싸움로,128.7739021
1770217900,1770087300,1770036300,고싸움로,148.0407041
1770218000,1770036300,1770087300,고싸움로,143.6323413
1770219100,1770087300,1770087700,고싸움로164번길,158.6874109
1770219200,1770087700,1770087300,고싸움로164번길,153.999201
1770221500,1770088500,1760124600,눌재로,220.3617052
1770218600,1770087400,1770087200,-,245.6320319
1770222700,1770088800,1770088900,도시첨단산업1로,133.3108925
1770217500,1770087200,1770086500,-,95.93554584
1770219800,1770087800,1770086900,-,292.7836805
1770220100,1770087500,1770087900,-,549.2754252
1770218900,1770087600,1770087500,-,226.5723332
1770215400,1770086600,1770086200,-,70.71998802
1770215500,1770086300,1770086600,-,40.45049531
1770216100,1770086600,1770086800,-,39.85605313
1770217000,1770087000,1770086700,-,31.84976559
1770217300,1770086800,1770087100,-,45.11197474
1770219000,1770087500,1770087600,-,225.8647354
1770219900,1770084201,1770087900,석정길,183.8423848
1770211500,1770085300,1770085000,-,160.517699
1770211700,1770085200,1770085400,-,84.61325465
1770212500,1770085100,1770085600,-,169.6055082
1770212800,1770085600,1770085300,-,84.22007304
1770213000,1770085000,1770085700,-,165.2677178
1770213300,1770085800,1770085400,-,148.2011599
1770213500,1770085700,1770085800,-,43.37428329
1770214000,1770085700,1770085900,-,74.74759114
1770214500,1770086200,1770086300,-,97.98959863
1770214600,1770086300,1770086200,-,114.3529553
1770214800,1770086200,1770086400,-,41.2478558
1770214900,1770086100,1770086500,-,83.59038823
1770215100,1770086300,1770086500,-,34.83506866
1770215300,1770086200,1770086600,-,70.71998802
1770215600,1770086600,1770086300,-,40.45049531
1770215900,1770086400,1770086800,-,71.03429028
1770216200,1770086800,1770086600,-,39.85605313
1770216500,1770086900,1770086100,-,147.4681937
1770217400,1770087100,1770086800,-,51.94177137
1770217600,1770086500,1770087200,-,87.98789436
1770218700,1770087500,1770086900,-,124.502321
1770219700,1770086900,1770087800,-,294.9170472
1770220200,1770087900,1770087500,-,523.2388343
1770220600,1770088000,1770088100,도시첨단산업4로,182.9782998
1770221000,1770088100,1770088300,도시첨단산업4로,54.38119513
1770221400,1770088300,1770088400,도시첨단산업4로,53.06955196
1770221700,1770088500,1770084201,-,71.43177138
1770221800,1770088200,1770088600,도시첨단산업2로,111.6084504
1770221900,1770088600,1770088200,도시첨단산업2로,112.4307842
1770222000,1770088700,1770088400,도시첨단산업로,214.0708841
1770222100,1770088400,1770088700,도시첨단산업로,200.4002788
1770222600,1770088900,1770088800,도시첨단산업1로,148.073455
1770223600,1770089200,1770089100,도시첨단산업3로,308.1627236
1770223700,1770089100,1770089200,도시첨단산업3로,301.8721991
1760328000,1760098000,1760097900,풍암순환로109번길,32.56399337
1760343000,1760104500,1760104100,상무화원로,87.29255523
1780298700,1780128300,1780037001,일곡마을로102번길,41.36514603
1780351100,1780118700,1780118600,서하로183번길,114.140942
1780361200,1780122200,1780122600,송해로40번길,68.27206903
1780415500,1780144700,1780071700,첨단연신로108번길,70.2546331
1790027700,1790013400,1790012200,평동로,208.1436244
1780426300,1780149400,1780044501,-,324.2375639
1780426400,1780044501,1780149400,-,344.5698045
1780426500,1780149700,1780149500,-,283.9315284
1780426600,1780149500,1780149700,-,279.4831599
1780426700,1780149600,1780149500,-,132.6216845
1790011802,1790063900,1790063901,삼도로,431.7427968
1790022300,1790010400,1790010500,빛가람장성로,314.4204141
1790022400,1790010500,1790010400,빛가람장성로,308.8578169
1790022500,1790010400,1790000102,동곡로,510.7837562
1790022600,1790000101,1790010500,동곡로,656.9645959
1790022700,1790010600,1790000101,동곡로,710.4846154
1790022800,1790010500,1790010600,빛가람장성로,52.18163487
1790022900,1790010600,1790010500,빛가람장성로,53.83968171
1790023000,1790010500,1790000102,동곡로,678.7379534
1790023100,1790010700,1790010600,빛가람장성로,222.7347694
1790027000,1790012700,1790012000,송도로,105.2206409
1790027100,1790012000,1790012700,송도로,105.2208116
