LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH
2270046100,1230003000,1230003100,학암로,198.4724266
1240233200,1240095100,1240095800,-,231.5528229
1240233400,1240095700,1240095800,-,110.4427176
1240234100,1240096100,1240095700,-,125.982052
1240008900,1240014600,1240002900,성안로,609.3225705
1230442801,1230190101,1230190001,위례북로,242.4108357
1240231600,1240094800,1240094900,-,107.5957922
1220343101,1220158201,1220153800,광평로10길,203.1172891
1220343201,1220153800,1220158201,광평로10길,203.4403689
1220345101,1220015501,1220158601,광평로9길,63.67017234
1220345201,1220158601,1220015501,광평로9길,63.05257956
1220344901,1220158601,1220015500,광평로9길,30.80650077
1220345001,1220015500,1220158601,광평로9길,31.14497912
1220343301,1220153700,1220158601,-,169.6868577
1220343401,1220158601,1220153700,-,156.456861
1220343501,1220153500,1220158301,-,40.26854658
1220343601,1220158301,1220153500,-,40.12188366
1220343701,1220158301,1220158401,-,39.32733347
1220343801,1220158401,1220158301,-,38.99912741
1220344301,1220158401,1220158701,-,41.15958902
1240232400,1240095300,1240095100,-,70.62416022
1240232500,1240095500,1240095200,-,189.2932905
1010052100,1010005600,1030019800,동호로,152.342472
1010052200,1010005400,1010005500,-,201.9552835
1010052300,1010005500,1010005400,-,222.6493144
1020007304,1020014802,1020014800,한강대로,142.0484552
1020007402,1020015200,1020016800,한강대로,222.5610707
1020007403,1020014800,1020014802,한강대로,142.0484552
1020007404,1020014802,1020015200,한강대로,86.39365358
1020008103,1020020700,1020017900,독서당로,279.3718093
1240232900,1240095700,1240095500,-,122.8817025
1240049400,1240024900,1240024500,아리수로46길,339.1831463
1240049500,1240024500,1240024900,아리수로46길,330.3786316
1240049600,1240025200,1240023900,올림픽로108길,472.2034887
1240049700,1240023900,1240025200,올림픽로108길,473.9759606
1240049800,1240024800,1240024900,양재대로.아리수로46길,123.357832
1240049900,1240024900,1240024800,양재대로.아리수로46길,123.3577616
1240050200,1240025800,1240024200,고덕로83길,502.4314552
1240050300,1240024200,1240025800,고덕로83길,506.301744
1240056702,1240089400,1240029800,풍산로,204.0400489
1240216800,1240090400,1240001500,올림픽대로,91.24333167
1240216900,1240090400,1240090600,올림픽대로,202.3693571
1240225100,1240001100,1240001300,서울외곽순환고속도로,760.5589277
1240233900,1240095900,1240096000,-,95.43201731
1240234900,1240096300,1240096100,-,88.88285634
1240233700,1240095600,1240096000,-,101.932593
1240234000,1240096000,1240095900,-,95.43201731
1240234300,1240096200,1240095800,-,105.2284314
1240235200,1240096400,1240095900,-,103.6837641
1240235400,1240096200,1240096400,-,93.6517938
1240235700,1240096400,1240096500,-,96.99007312
1240236000,1240096200,1240096600,-,130.5523717
1240236200,1240096600,1240096500,-,272.5967835
1240233100,1240095800,1240095100,-,231.5528229
1240233300,1240095800,1240095700,-,110.4427176
1240233500,1240095900,1240095800,-,97.4746911
1240236500,1240096700,1240096300,-,141.4025518
1240232200,1240095000,1240095200,-,102.9029886
1240231700,1240094900,1240095100,-,100.8300393
1240232000,1240094900,1240095200,-,110.5773547
1240232300,1240095100,1240095300,-,70.62416022
1240232700,1240095400,1240095500,-,191.2241561
1240232800,1240095500,1240095400,-,186.3894307
1240234500,1240096100,1240096200,-,103.7294957
1240234600,1240096200,1240096100,-,107.0203028
1240234800,1240096300,1240095500,-,164.6391965
1240235000,1240096100,1240096300,-,88.88285634
1240235100,1240095900,1240096400,-,103.6837641
1240235300,1240096400,1240096200,-,93.6517938
1240235600,1240096000,1240096500,-,101.9926669
1240235800,1240096500,1240096400,-,96.99007312
1240235900,1240096600,1240096200,-,130.5523717
1240236100,1240096500,1240096600,-,260.3541047
1240236300,1240007800,1240096700,-,930.8391032
1240236400,1240096700,1240007800,-,922.1234365
1240236700,1240096700,1240096600,-,138.3845395
1240236800,1240096600,1240096700,-,139.5404962
1230444101,1230190401,1230190601,위례북로,218.0463819
1230444801,1230190501,1230190601,위례북로6길,122.2556611
1070039800,1070020600,1070017700,종암로21길,362.8694586
1090012804,1090019000,1090000200,도봉로,297.3004703
1100068300,1100038800,1100035300,동일로218길,321.1968755
1110028100,1110013300,1110014700,은평로3길,184.4959328
