LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH
1961061700,1960410200,1960026903,솔밭1길,97.92625108
1961061800,1960026903,1960410200,솔밭1길,97.92622736
1961061900,1960024201,1960460700,천산로,626.0733908
1961062000,1960460700,1960024201,천산로,615.4948637
1961062100,1960410800,1960026801,솔밭3길,47.18989757
1961062200,1960026801,1960410800,솔밭3길,47.18989757
1961062300,1960411400,1960411300,-,304.6655209
1961062400,1960411300,1960411400,-,304.6655192
1961062500,1960410100,1960409900,솔밭2길,48.56263845
1961062600,1960409900,1960410100,솔밭2길,48.56254251
1961062700,1960410200,1960410100,솔밭2길,49.99419846
1961062800,1960410100,1960410200,솔밭2길,49.99410162
1961062900,1960410300,1960026905,솔밭1길,97.97141267
1961063000,1960026905,1960410300,솔밭1길,97.97141267
1961063100,1960410300,1960027001,솔밭2길,47.64455806
1961063200,1960027001,1960410300,솔밭2길,47.64462592
1961063300,1960410400,1960410300,솔밭2길,49.09491785
1961063400,1960410300,1960410400,솔밭2길,49.09498902
1961063500,1960410900,1960026801,솔밭3길,219.8403106
1961063600,1960026801,1960410900,솔밭3길,215.5132348
1961063700,1960410400,1960026906,솔밭1길,98.93634559
1961064100,1960411500,1960411400,-,44.35124299
1961064200,1960411400,1960411500,-,44.35114301
1961064300,1960411000,1960410800,솔밭3길,94.989257
1961065500,1960411700,1960411300,보곡3길,77.95513936
1961065600,1960411300,1960411700,보곡3길,78.71537661
1961065700,1960411700,1960411200,보곡2길,152.5786135
1961065800,1960411200,1960411700,보곡2길,152.5786845
1961066600,1960001700,1960412000,보곡2길,50.24767682
1961066700,1960412100,1960412000,보곡2길,150.9426759
1961066800,1960412000,1960412100,보곡2길,150.9426759
1961067100,1960001202,1960001201,-,343.6924696
1961067200,1960001201,1960001202,-,325.8439644
1961067300,1960412300,1960412200,대안3길,155.1954243
1961067400,1960412200,1960412300,대안3길,149.9791495
1920220001,1920072801,1920073501,종가15길,45.9635111
1920218501,1920072801,1920072401,종가15길,37.87978996
1920218601,1920072401,1920072801,종가15길,38.92109005
1920220201,1920072801,1920073801,종가15길,120.2728176
1920220101,1920073801,1920072801,종가15길,98.25698585
1920222701,1920073501,1920073801,종가13길,55.55651777
1920222801,1920073801,1920073501,종가13길,51.78327957
1920223301,1920073901,1920073801,종가15길,77.13406883
1920223401,1920073801,1920073901,종가15길,93.70076042
1920215301,1920071601,1920059100,종가12길,31.93762111
1920215401,1920059100,1920071601,종가12길,31.0393711
1920221301,1920073201,1920073101,종가17길,29.90608494
1920221401,1920073101,1920073201,종가17길,29.7723939
1920216301,1920071601,1920072501,종가18길,38.59899659
1920216401,1920072501,1920071601,종가18길,39.34085846
1920219101,1920072501,1920073201,종가18길,44.1269909
1920219201,1920073201,1920072501,종가18길,44.07874877
1920222001,1920073201,1920073701,종가18길,125.2743669
1920221901,1920073701,1920073201,종가18길,106.1362276
1920216101,1920071801,1920071601,종가12길,79.08242457
1920216201,1920071601,1920071801,종가12길,79.76237793
1920218901,1920072601,1920072501,종가18길,80.15202887
1920219001,1920072501,1920072601,종가18길,79.50689934
1930509601,1930189401,1930189301,신정로,85.79949847
1930509701,1930189301,1930189401,신정로,85.36636821
1930509201,1930189301,1930071300,신정로,95.40245969
1930509301,1930071300,1930189301,신정로,96.71599719
1930508801,1930189201,1930189101,중앙로128번길,85.53205006
1930508901,1930189101,1930189201,중앙로128번길,84.96426449
1930507801,1930188901,1930025000,삼산로122번길,124.4566038
1930507901,1930025000,1930188901,삼산로122번길,124.5960532
1930504001,1930023700,1930188301,중앙로128번길,36.74601596
1930504101,1930188301,1930023700,중앙로128번길,36.17319517
1930504601,1930188301,1930024700,중앙로128번길,83.87740593
1930504701,1930024700,1930188301,중앙로128번길,84.95713058
1930503801,1930022900,1930188201,도산로,41.48251697
1930503901,1930188201,1930022900,도산로,40.53125084
1930504401,1930188201,1930023300,도산로,89.79424283
1930504501,1930023300,1930188201,도산로,94.50672542
1930504201,1930188301,1930188201,-,69.60278129
1930504301,1930188201,1930188301,-,70.90892543
1920197901,1920066301,1920066501,종가8길,108.4198329
1920201801,1920058200,1920067501,종가8길,124.4039533
1920201501,1920058200,1920067401,종가8길,160.0850375
1920201601,1920067401,1920058200,종가8길,175.6151373
1920201301,1920067501,1920067401,종가8길,46.78323201
1920201401,1920067401,1920067501,종가8길,47.08937269
